data.stations.capacity,data.stations.eightd_has_key_dispenser,data.stations.electric_bike_surcharge_waiver,data.stations.external_id,data.stations.has_kiosk,data.stations.is_charging,data.stations.lat,data.stations.lon,data.stations.name,data.stations.rental_methods,data.stations.short_name,data.stations.station_id,last_updated,ttl
15,false,false,"0b1017ec-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.501966859101564,-73.55515256524086,"St-Nicolas / Place d'Youville","CREDITCARD, KEY","6037","36",,
23,false,false,"0b101966-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49975,-73.55566,"McGill / Place d'Youville","CREDITCARD, KEY","6038","37",,
23,false,false,"0b101acc-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.500779,-73.558826,"McGill / des Récollets","CREDITCARD, KEY","6039","38",,
23,false,false,"0b101c22-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50278649802565,-73.55913430452347,"St-Jacques / St-Pierre","CREDITCARD, KEY","6040","39",,
31,false,false,"0b101d77-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50144108135568,-73.56014415621758,"St-Jacques / McGill","CREDITCARD, KEY","6041","40",,
27,false,false,"0b101ed0-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50060578095098,-73.56544822454453,"de la Gauchetière / Robert-Bourassa","CREDITCARD, KEY","6042","41",,
19,false,false,"0b102046-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50206,-73.56295,"Square Victoria (Viger / du Square-Victoria)","CREDITCARD, KEY","6043","42",,
23,false,false,"0b1021af-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.521564270906616,-73.57036739587784,"Roy / St-André","CREDITCARD, KEY","6044","43",,
47,false,false,"0b10246c-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49831217703312,-73.56725603342056,"Métro Bonaventure (de la Gauchetière / de la Cathédrale)","CREDITCARD, KEY","6046","45",,
27,false,false,"0b1025c4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.508140959417744,-73.57492983341217,"Milton / Durocher","CREDITCARD, KEY","6204","46",,
19,false,false,"0b10272a-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49891911390352,-73.55725407600403,"William / St-Henri","CREDITCARD, KEY","6048","47",,
43,false,false,"0b102b66-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49760527699099,-73.55534970760345,"Queen / Wellington","CREDITCARD, KEY","6049","48",,
39,false,false,"0b102c87-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.498577791020146,-73.56024205684662,"St-Maurice / Robert-Bourassa","CREDITCARD, KEY","6050","49",,
23,false,false,"0b102d8f-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.529640980897206,-73.60492341242207,"St-Dominique / de Bellechasse","CREDITCARD, KEY","6051","50",,
15,false,false,"0b102e96-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49880662577729,-73.55310201644897,"McGill / de la Commune","CREDITCARD, KEY","6052","51",,
27,false,false,"0b102fb4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.508204615051355,-73.56881439685822,"du Président-Kennedy / Jeanne-Mance","CREDITCARD, KEY","6053","52",,
19,false,false,"0b10559b-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.4977183451679,-73.5681800544262,"Peel / de la Gauchetiere","CREDITCARD, KEY","6057","55",,
23,false,false,"0b1056fb-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49932551028458,-73.57176750898361,"Cypress / Peel","CREDITCARD, KEY","6058","56",,
55,false,false,"0b10581e-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.499191207076606,-73.56942057609558,"de la Cathédrale / René-Lévesque","CREDITCARD, KEY","6059","57",,
33,false,false,"0b105944-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.507837541505836,-73.56313616037369,"St-Urbain / René-Lévesque","CREDITCARD, KEY","6060","58",,
3,false,false,"0b105a5b-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.501398709321506,-73.57178628444672,"Mansfield / Ste-Catherine","CREDITCARD, KEY","6061","59",,
31,false,false,"0b105b66-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49863930330429,-73.57422709465027,"Drummond / Ste-Catherine","CREDITCARD, KEY","6062","60",,
43,false,false,"0b105c6d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49947,-73.57591,"Drummond / de Maisonneuve","CREDITCARD, KEY","6063","61",,
57,false,false,"0b105d73-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50038,-73.57507,"Métro Peel (de Maisonneuve / Stanley)","CREDITCARD, KEY","6064","62",,
3,false,false,"0b105e8d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.499744750433784,-73.57903361320496,"de la Montagne / Sherbrooke","CREDITCARD, KEY","6065","63",,
19,false,false,"0b105f95-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.517022060653076,-73.52732062339783,"Bassin Olympique","CREDITCARD, KEY","6067","64",,
31,false,false,"0b10609d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.562509038048915,-73.61656039953232,"2e avenue / Jean-Rivard","CREDITCARD, KEY","6068","65",,
31,false,false,"0b1062ad-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.506511175399844,-73.57666924595833,"University / Milton","CREDITCARD, KEY","6070","67",,
